step,error,bandwidth_kbps,K,surprise
0,0.0,2.1333333333333333,16,nan
1,0.0,4.091090456644694,16,nan
2,4.075949952903773,3.914329306284587,16,nan
3,5.135128685232222,3.7368326346079512,16,nan
4,5.6025755783185245,3.5627262751261397,16,nan
5,6.8299847746864755,3.3874910036722823,16,nan
6,5.069746311539449,3.20138742129008,16,nan
7,7.18190493671473,3.0257945219675704,16,nan
8,0.0,4.982239151000977,16,nan
9,5.099119289952016,4.805592441558838,16,nan
10,7.149430157944574,4.631309652328492,16,nan
11,6.344680747114653,4.454511547088623,16,nan
12,5.9505292950945865,4.27779450416565,16,nan
13,7.237406842770299,4.102176570892334,16,nan
14,7.343633311852195,3.926868581771851,16,nan
15,6.478862942770074,3.752932691574097,16,nan
16,7.05672659146785,3.5756923198699955,16,nan
17,5.167857746087234,3.400956535339356,16,nan
18,5.21991184156114,3.224074983596802,16,nan
19,7.313021552718934,3.049279594421387,16,nan
20,5.4587601870364715,2.8743399620056156,16,nan
21,0.0,4.831622632344565,16,nan
22,5.580552896580876,4.6556065400441495,16,nan
23,5.516450021446769,4.475896151860556,16,nan
24,5.116042780959128,4.298441203435263,16,nan
25,5.787327192285754,4.121935160954794,16,nan
26,5.140132700573142,3.9450989087422696,16,nan
27,4.128885160727493,3.7682626565297452,16,nan
28,5.355812172115841,3.5932538827260343,16,nan
29,5.709094789417483,3.4164724667867032,16,nan
30,5.306260026910649,3.2407341321309415,16,nan
31,5.737460568827265,3.0635867436726896,16,nan
32,5.278887119233426,2.8871486504872648,16,nan
33,0.0,4.842178265253704,16,nan
34,6.172090835861658,4.666321913401287,16,nan
35,5.552738106680532,4.488590399424236,16,nan
36,4.927396145972843,4.310336748758953,16,nan
37,4.906112523790216,4.132763783137005,16,nan
38,5.299126832120671,3.953681627909343,16,nan
39,5.143591081399091,3.7519890467325854,16,nan
40,5.887687020680524,3.576739470163982,16,nan
41,4.510385032016741,3.4007853666941332,16,nan
42,6.913255249623405,3.2261640230814623,16,nan
43,4.144401979298089,3.0506974856058764,16,nan
44,4.874856399860192,2.8746933142344164,16,nan
45,0.0,4.833896446228028,16,nan
46,6.351739406648872,4.6583321571350105,16,nan
47,6.075403438708568,4.483725118637086,16,nan
48,5.817352530689489,4.30658130645752,16,nan
49,4.491774718215115,4.131417560577393,16,nan
50,5.245824293628002,3.9564111709594734,16,nan
51,4.357836213652367,3.775208282470704,16,nan
52,5.6157738358622575,3.598610448837281,16,nan
53,5.4013046459451095,3.420646476745606,16,nan
54,5.487721464235386,3.24515609741211,16,nan
55,5.165295439977742,3.070705223083497,16,nan
56,6.434860681434146,2.8958573818206794,16,nan
57,0.0,4.852667983373006,16,nan
58,5.546167084886882,4.676452811559042,16,nan
59,4.989801576065707,4.499157603581747,16,nan
60,4.882656811785308,4.324390824635824,16,nan
61,5.082416182151765,4.148180421193441,16,nan
62,5.973951321656464,3.97191398938497,16,nan
63,4.668897264166465,3.7953638394673677,16,nan
64,5.452593533995654,3.621010716756186,16,nan
65,2.656509679254277,3.444815810521445,16,nan
66,6.354674874864443,3.2691180070241304,16,nan
67,6.075373623713778,3.0953418572743745,16,nan
68,5.271057617044664,2.916340764363608,16,nan
69,0.0,4.875111166636151,16,nan
70,6.157819312185518,4.697473827997845,16,nan
71,5.676365453725904,4.494040791193646,16,nan
72,6.2416895081613575,4.209264103571575,16,nan
73,6.665908611622163,3.9276559988657644,16,nan
74,5.131048444828759,3.6903651396433523,16,nan
75,5.6620728927546,3.5125489870707205,16,nan
76,5.498310947368106,3.3391876856486014,16,nan
77,6.61828420833519,3.164586607615154,16,nan
78,4.100590895142221,2.9906590620676687,16,nan
79,0.0,4.948831033706667,16,nan
80,5.298981316536386,4.775587749481203,16,nan
81,6.443610511377022,4.604379367828371,16,nan
82,6.96060786209728,4.4310848236084,16,nan
83,5.17561240240998,4.2578296184539814,16,nan
84,4.811347577841513,4.082659912109376,16,nan
85,6.599659545015373,3.9073149681091324,16,nan
86,6.18788643969402,3.7304942131042496,16,nan
87,4.625903442459418,3.552892637252809,16,nan
88,5.111473226411186,3.375193309783937,16,nan
89,5.337208246988304,3.2002608299255386,16,nan
90,4.982191297654793,3.02672429084778,16,nan
91,0.0,4.98724945386251,16,nan
92,5.7116165672866614,4.813283761342368,16,nan
93,6.385087343970809,4.63668473561605,16,nan
94,5.44636613715603,4.463501056035361,16,nan
95,6.209881152564721,4.290881236394248,16,nan
96,7.160989917218102,4.116182406743369,16,nan
97,6.669722739755068,3.939759810765586,16,nan
98,7.092199168633067,3.7637759049733495,16,nan
99,5.2000344999480355,3.591231187184653,16,nan
100,5.85037392146721,3.4161175092061375,16,nan
101,5.09841717335942,3.2376087506612157,16,nan
102,6.124491065557195,3.0614090760548924,16,nan
103,5.735363765190414,2.88460143407186,16,nan
104,0.0,4.843500582377117,16,nan
105,5.583036326420154,4.668630091349285,16,nan
106,6.513684372254572,4.494878975550335,16,nan
107,4.557210474401347,4.317612377802532,16,nan
108,7.7874924222446245,4.1398534456888845,16,nan
109,5.57480158875714,3.9637026468912775,16,nan
110,6.713704171552867,3.7906751314799005,16,nan
111,5.015808651018454,3.616704670588177,16,nan
112,5.24773291213491,3.444173065821331,16,nan
113,5.317055993100795,3.271856037775677,16,nan
114,6.242757439903188,3.0991611162821466,16,nan
115,4.76406132551138,2.9237577597300226,16,nan
116,0.0,4.870693063735963,16,nan
117,5.025560786073315,4.692955589294435,16,nan
118,6.411431582233561,4.515438652038576,16,nan
119,5.32324334074021,4.3391102313995376,16,nan
